"","movie_index","original_title","moviesynthesis","neigbhoors"
1401,1401,"Something Borrowed","{'movie_id':'49022','original_title':'Something Borrowed','overview':'Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal; generous friend; she is still single. After one drink too many at her 30th-birthday celebration; Rachel unexpectedly falls into bed with her longtime crush; Dex -- who happens to be engaged to her best friend; Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women°s lifelong friendship; while Ethan (John Krasinski); Rachel°s confidant; harbors a potentially explosive secret of his own.','tagline':'It°s a thin line between love and friendship.','main_category':'Drama','homepage':'http://somethingborrowedmovie.warnerbros.com/'}","{'neighb1':'1526','neighb2':'1227','neighb3':'1232','neighb4':'868','neighb5':'1258'}"
1402,1402,"Black Knight","{'movie_id':'11469','original_title':'Black Knight','overview':'Martin Lawrence plays Jamal; an employee in Medieval World amusement park. After sustaining a blow to the head; he awakens to find himself in 14th century England.','tagline':'It°s only a flesh wound!','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3659','neighb2':'2540','neighb3':'417','neighb4':'1451','neighb5':'894'}"
1403,1403,"The Bad News Bears","{'movie_id':'23479','original_title':'The Bad News Bears','overview':'An aging; down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.','tagline':'The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1901','neighb2':'1336','neighb3':'1620','neighb4':'2987','neighb5':'2020'}"
1404,1404,"Street Fighter","{'movie_id':'11667','original_title':'Street Fighter','overview':'Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.','tagline':'The fight to save the world is on!','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'602','neighb2':'1447','neighb3':'1907','neighb4':'259','neighb5':'240'}"
1405,1405,"The Pianist","{'movie_id':'423','original_title':'The Pianist','overview':'The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.','tagline':'Music was his passion. Survival was his masterpiece.','main_category':'War','homepage':'http://www.thepianistmovie.com/'}","{'neighb1':'2052','neighb2':'2522','neighb3':'3516','neighb4':'571','neighb5':'680'}"
1406,1406,"The Nativity Story","{'movie_id':'2447','original_title':'The Nativity Story','overview':'Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village; where they find shelter in a quiet manger and Jesus is born.','tagline':'Her child would change the world.','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1421','neighb2':'1476','neighb3':'1814','neighb4':'1917','neighb5':'1252'}"
1407,1407,"House of Wax","{'movie_id':'10066','original_title':'House of Wax','overview':'A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.','tagline':'Prey. Slay. Display','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1708','neighb2':'1690','neighb3':'619','neighb4':'1398','neighb5':'997'}"
1408,1408,"Closer","{'movie_id':'2288','original_title':'Closer','overview':'A witty; romantic; and very dangerous love story about chance meetings; instant attractions; and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.','tagline':'If you believe in love at first sight; you never stop looking.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1840','neighb2':'1601','neighb3':'2473','neighb4':'1305','neighb5':'1081'}"
1409,1409,"J. Edgar","{'movie_id':'88794','original_title':'J. Edgar','overview':'As the face of law enforcement in America for almost 50 years; J. Edgar Hoover was feared and admired; reviled and revered. But behind closed doors; he held secrets that would have destroyed his image; his career and his life.','tagline':'The most powerful man in the world.','main_category':'Crime','homepage':'http://jedgarmovie.warnerbros.com/dvd/'}","{'neighb1':'316','neighb2':'2354','neighb3':'1252','neighb4':'1476','neighb5':'3571'}"
1410,1410,"Mirrors","{'movie_id':'13515','original_title':'Mirrors','overview':'An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.','tagline':'There is evil...On the other side.','main_category':'Mystery','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1845','neighb2':'1800','neighb3':'1766','neighb4':'2773','neighb5':'2998'}"
1411,1411,"Queen of the Damned","{'movie_id':'11979','original_title':'Queen of the Damned','overview':'Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time; another has arisen; Akasha; the Queen of the Vampires and the Dammed. He want°s immortal fame; his fellow vampires want him eternally dead for his betrayal; and the Queen want°s him for her King. Who will be the first to reach him? Who shall win?','tagline':'This time there are no interviews.','main_category':'Fantasy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'624','neighb2':'2628','neighb3':'3126','neighb4':'217','neighb5':'654'}"
1412,1412,"Predator 2","{'movie_id':'169','original_title':'Predator 2','overview':'Ten years after a band of mercenaries first battled a vicious alien; the invisible creature from another world has returned to Earth -- and this time; it°s drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers; detective-lieutenant Mike Harrigan and his police force set out to capture the creature; ignoring warnings from a mysterious government agent to stay away.','tagline':'Silent. Invisible. Invincible. He°s in town with a few days to kill.','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1431','neighb2':'716','neighb3':'1342','neighb4':'1955','neighb5':'1343'}"
1413,1413,"Untraceable","{'movie_id':'8090','original_title':'Untraceable','overview':'Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all; until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets; the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.','tagline':'A cyber killer has finally found the perfect accomplice: You.','main_category':'','homepage':'http://www.sonypictures.com/movies/untraceable/'}","{'neighb1':'1415','neighb2':'1634','neighb3':'1501','neighb4':'1544','neighb5':'1685'}"
1414,1414,"Blast from the Past","{'movie_id':'11622','original_title':'Blast from the Past','overview':'Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years; Adam now ventures forth into Los Angeles to obtain food and supplies for his family; and a non-mutant wife for himself.','tagline':'She°d never met anyone like him. He°s never met anyone... Period.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2070','neighb2':'1376','neighb3':'1241','neighb4':'1098','neighb5':'964'}"
1415,1415,"Flash Gordon","{'movie_id':'3604','original_title':'Flash Gordon','overview':'A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant; Ming the Merciless; to save Earth.','tagline':'He°ll save every one of us!','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1413','neighb2':'1634','neighb3':'1501','neighb4':'1544','neighb5':'1685'}"
1416,1416,"Jersey Girl","{'movie_id':'9541','original_title':'Jersey Girl','overview':'Ollie Trinke is a young; suave music publicist who seems to have it all; with a new wife and a baby on the way. But life deals him a bum hand when he°s suddenly faced with single fatherhood; a defunct career and having to move in with his father. To bounce back; it takes a new love and the courage instilled in him by his daughter.','tagline':'He wanted it all...but he got more than he bargained for.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1435','neighb2':'1475','neighb3':'1393','neighb4':'1563','neighb5':'1400'}"
1417,1417,"Alex Cross","{'movie_id':'94348','original_title':'Alex Cross','overview':'After Washington DC detective Alex Cross is told that a family member has been murdered; he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.','tagline':'Don°t Ever Cross Alex Cross','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1445','neighb2':'3634','neighb3':'3033','neighb4':'1752','neighb5':'1127'}"
1418,1418,"Midnight in the Garden of Good and Evil","{'movie_id':'8197','original_title':'Midnight in the Garden of Good and Evil','overview':'A visiting city reporter°s assignment suddenly revolves around the murder trial of a local millionaire; whom he befriends.','tagline':' ','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1087','neighb2':'974','neighb3':'1781','neighb4':'421','neighb5':'1374'}"
1419,1419,"Heist","{'movie_id':'336004','original_title':'Heist','overview':'A father is without the means to pay for his daughter°s medical treatment. As a last resort; he partners with a greedy co-worker to rob a casino. When things go awry they°re forced to hijack a city bus.','tagline':'Never make a bet you can°t afford to lose.','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3774','neighb2':'2644','neighb3':'3284','neighb4':'3733','neighb5':'4111'}"
1420,1420,"Nanny McPhee and the Big Bang","{'movie_id':'35019','original_title':'Nanny McPhee and the Big Bang','overview':'Nanny McPhee appears at the door of a harried young mother; Mrs. Isabel Green; who is trying to run the family farm while her husband is away at war. But once she’s arrived; Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant; Nanny uses her magic to teach her mischievous charges five new lessons.','tagline':'You°ll Believe That Pigs Can Fly!','main_category':'Fantasy','homepage':'http://www.nannymcphee.co.uk/'}","{'neighb1':'967','neighb2':'2100','neighb3':'1446','neighb4':'668','neighb5':'293'}"
1421,1421,"Hoffa","{'movie_id':'10410','original_title':'Hoffa','overview':'Jack Nicholson°s portrait of union leader James R. Hoffa; as seen through the eyes of his friend; Bobby Ciaro (Danny DeVito). The film follows Hoffa through his countless battles with the RTA and President Roosevelt all the way to a conclusion that negates the theory that he disappeared in 1975.','tagline':' ','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1406','neighb2':'1814','neighb3':'1917','neighb4':'1476','neighb5':'1252'}"
1422,1422,"The X Files; I Want to Believe","{'movie_id':'8836','original_title':'The X Files; I Want to Believe','overview':'Six years after the events of The X-Files series finale; former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows; a Catholic hospital; and treating a boy named Christian who has Sandhoff disease; a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder; the fugitive former head of the X-Files division; and says they will call off its manhunt for him if he will help investigate the disappearances of several women; including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.','tagline':'To find the truth; you must believe.','main_category':'Mystery','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2541','neighb2':'908','neighb3':'564','neighb4':'1318','neighb5':'575'}"
1423,1423,"Ella Enchanted","{'movie_id':'14442','original_title':'Ella Enchanted','overview':'Ella lives in a magical world in which each child; at the moment of their birth; is given a virtuous °gift° from a fairy godmother. Ella°s so-called gift; however; is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions; Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path; however; isn°t easy -- Ella must outwit a slew of unpleasant obstacles including ogres; giants; wicked stepsisters; elves and Prince Charmont°s evil uncle; who wants to take over the crown and rule the kingdom.','tagline':'Get enchanted','main_category':'Fantasy','homepage':'http://www.miramax.com/movie/ella-enchanted/'}","{'neighb1':'743','neighb2':'2184','neighb3':'2826','neighb4':'2343','neighb5':'784'}"
1424,1424,"Concussion","{'movie_id':'321741','original_title':'Concussion','overview':'A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu; the brilliant forensic neuropathologist who made the first discovery of CTE; a football-related brain trauma; in a pro player and fought for the truth to be known. Omalu°s emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.','tagline':'Even Legends Need a Hero','main_category':'','homepage':'http://www.sonypictures.com/movies/concussion/'}","{'neighb1':'1231','neighb2':'1333','neighb3':'1717','neighb4':'1169','neighb5':'3174'}"
1425,1425,"Abduction","{'movie_id':'59965','original_title':'Abduction','overview':'A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.','tagline':'They stole his life. He°s taking it back.','main_category':'Action','homepage':'http://www.abductionthefilm.com/'}","{'neighb1':'1699','neighb2':'659','neighb3':'2026','neighb4':'291','neighb5':'3940'}"
1426,1426,"Valiant","{'movie_id':'14175','original_title':'Valiant','overview':'The animated comedy tells the story of a lowly wood pigeon named Valiant; who overcomes his small size to become a hero in Great Britain°s Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel; whilst evading brutal attacks by the enemy°s Falcon Brigade.','tagline':'Some pigeons eat crumbs; others make history.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1999','neighb2':'1302','neighb3':'479','neighb4':'1856','neighb5':'2653'}"
1427,1427,"Wonder Boys","{'movie_id':'11004','original_title':'Wonder Boys','overview':'Grady (Michael Douglas) is a 50-ish English professor who hasn°t had a thing published in years -- not since he wrote his award winning °Great American Novel° 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.','tagline':'Undependable. Unpredictable. Unforgettable.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1677','neighb2':'1659','neighb3':'1091','neighb4':'2701','neighb5':'1283'}"
1428,1428,"Superhero Movie","{'movie_id':'11918','original_title':'Superhero Movie','overview':'The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker; a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis; enter Lou Landers; aka the villainously goofy Hourglass.','tagline':'The greatest Superhero movie of all time! (not counting all the others)','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4450','neighb2':'4401','neighb3':'319','neighb4':'306','neighb5':'3163'}"
1429,1429,"Broken City","{'movie_id':'98357','original_title':'Broken City','overview':'In a broken city rife with injustice; ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure; the mayor. Billy°s relentless pursuit of justice; matched only by his streetwise toughness; makes him an unstoppable force - and the mayor°s worst nightmare.','tagline':'Proof Can Be a Powerful Weapon.','main_category':'Crime','homepage':'http://www.brokencitymovie.com/'}","{'neighb1':'1278','neighb2':'1884','neighb3':'1674','neighb4':'1952','neighb5':'1742'}"
1430,1430,"Cursed","{'movie_id':'10012','original_title':'Cursed','overview':'A werewolf loose in Los Angeles changes the lives of three young adults; who; after being mauled by the beast; learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.','tagline':'What doesn°t kill you makes you stronger.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1616','neighb2':'789','neighb3':'1980','neighb4':'2338','neighb5':'2496'}"
1431,1431,"Premium Rush","{'movie_id':'49526','original_title':'Premium Rush','overview':'In Manhattan; a bike messenger picks up an envelope that attracts the interest of a dirty cop; who pursues the cyclist throughout the city.','tagline':'Ride Like Hell','main_category':'Action','homepage':'http://www.premiumrush.com/'}","{'neighb1':'1412','neighb2':'716','neighb3':'1342','neighb4':'1955','neighb5':'4111'}"
1432,1432,"Hot Pursuit","{'movie_id':'268920','original_title':'Hot Pursuit','overview':'An uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen.','tagline':'Armed and Sort-of Dangerous.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1137','neighb2':'1334','neighb3':'952','neighb4':'615','neighb5':'751'}"
1433,1433,"The Four Feathers","{'movie_id':'9093','original_title':'The Four Feathers','overview':'The story; set in 1875; follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment°s plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.','tagline':'Freedom. Country. Honor. Passion. To save his best friend; one man must risk everything he loves.','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1460','neighb2':'2474','neighb3':'535','neighb4':'3616','neighb5':'660'}"
1434,1434,"Parker","{'movie_id':'119283','original_title':'Parker','overview':'A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside; he looks to hijack the score of the crew°s latest heist.','tagline':'To get away clean; you have to play dirty.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1368','neighb2':'3594','neighb3':'2413','neighb4':'1964','neighb5':'1585'}"
1435,1435,"Wimbledon","{'movie_id':'11823','original_title':'Wimbledon','overview':'A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him; he meets a young player on the women°s circuit who helps him recapture his focus for Wimbledon.','tagline':'She°s the golden girl. He°s the longshot. It°s a match made in...','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1416','neighb2':'1475','neighb3':'1393','neighb4':'1400','neighb5':'1563'}"
1436,1436,"Furry Vengeance","{'movie_id':'35169','original_title':'Furry Vengeance','overview':'When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision; a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?','tagline':'He came. He saw. They conquered.','main_category':'','homepage':'http://www.furryvengeance-movie.com/'}","{'neighb1':'1249','neighb2':'1593','neighb3':'1848','neighb4':'1466','neighb5':'2199'}"
1437,1437,"Bait","{'movie_id':'118957','original_title':'Bait','overview':'A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.','tagline':'Cleanup on aisle 7.','main_category':'Horror','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'779','neighb2':'1893','neighb3':'1351','neighb4':'497','neighb5':'2983'}"
1438,1438,"Krull","{'movie_id':'849','original_title':'Krull','overview':'A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.','tagline':'A world light-years beyond your imagination.','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1234','neighb2':'4093','neighb3':'2785','neighb4':'3826','neighb5':'2352'}"
1439,1439,"Lions for Lambs","{'movie_id':'4515','original_title':'Lions for Lambs','overview':'Three stories told simultaneous in ninety minutes of real time: a Republican Senator who°s a presidential hopeful gives an hour-long interview to a skeptical television reporter; detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage.','tagline':'If you don°t STAND for something; you might FALL for anything.','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2444','neighb2':'1204','neighb3':'422','neighb4':'2696','neighb5':'3065'}"
1440,1440,"Flight of the Intruder","{'movie_id':'18886','original_title':'Flight of the Intruder','overview':'U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy; Lt. Cmdr. Virgil Cole; are two soldiers embedded in the Vietnam War growing frustrated by the military°s constraints on their missions. Despite the best efforts of their commanding officer; Cmdr. Frank Camparelli; to re-engage them; this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed.','tagline':'The only thing they can count on is each other.','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'544','neighb2':'2207','neighb3':'2205','neighb4':'2573','neighb5':'3437'}"
1441,1441,"Walk Hard; The Dewey Cox Story","{'movie_id':'6575','original_title':'Walk Hard; The Dewey Cox Story','overview':'Singer Dewey Cox overcomes adversity to become a musical legend.','tagline':'Life made him tough. Love made him strong. Music made him hard.','main_category':'Music','homepage':'http://www.walkhard-movie.com/'}","{'neighb1':'1088','neighb2':'2243','neighb3':'1982','neighb4':'2599','neighb5':'2350'}"
1442,1442,"The Shipping News","{'movie_id':'6440','original_title':'The Shipping News','overview':'An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.','tagline':'You°ll never guess what you°ll find inside...','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2707','neighb2':'4406','neighb3':'2376','neighb4':'4232','neighb5':'3610'}"
1443,1443,"American Outlaws","{'movie_id':'13496','original_title':'American Outlaws','overview':'When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge; a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and; as their fame grows; so will the legend of their leader; a young outlaw by the name of Jessie James.','tagline':'Sometimes the wrong side of the law is the right place to be.','main_category':'Western','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'796','neighb2':'1321','neighb3':'3475','neighb4':'1962','neighb5':'1229'}"
1444,1444,"The Young Victoria","{'movie_id':'18320','original_title':'The Young Victoria','overview':'From Academy Award® winners Graham King and Martin Scorsese; along with the makers of Gosford Park and The Departed; comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert; Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama; romance; breath-taking cinematography; lavish costumes and featuring an outstanding British cast including Jim Broadbent; Harriet Walter; Mark Strong; Paul Bettany; Miranda Richardson; and Rupert Friend; The Young Victoria has captivated British audiences; and is the film that Company magazine called “an epic British film; which will sweep you up in her remarkable story.”','tagline':'Love rules all.','main_category':'History','homepage':'http://www.theyoungvictoriamovie.com/'}","{'neighb1':'1125','neighb2':'1649','neighb3':'853','neighb4':'536','neighb5':'2494'}"
1445,1445,"Whiteout","{'movie_id':'22787','original_title':'Whiteout','overview':'The only U.S. Marshal assigned to Antarctica; Carrie Stetko will soon leave the harsh environment behind for good – in three days; the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice; Carrie°s investigation into the continent°s first homicide plunges her deep into a mystery that may cost her her own life.','tagline':'See Your Last Breath','main_category':'Crime','homepage':'http://www.whiteoutmovie.com/'}","{'neighb1':'1417','neighb2':'3634','neighb3':'3033','neighb4':'1752','neighb5':'1127'}"
1446,1446,"The Tree of Life","{'movie_id':'8967','original_title':'The Tree of Life','overview':'The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son; Jack; through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world; seeking answers to the origins and meaning of life while questioning the existence of faith.','tagline':'Nothing stands still.','main_category':'Fantasy','homepage':'http://www.twowaysthroughlife.com/'}","{'neighb1':'1420','neighb2':'967','neighb3':'2100','neighb4':'668','neighb5':'293'}"
1447,1447,"Knock Off","{'movie_id':'37498','original_title':'Knock Off','overview':'Marcus Ray (Jean-Claude Van Damme); a sales representative for °V SIX° jeans; and his partner; Tommy Hendricks (Rob Schneider); are about to be busted for selling °knock off° jeans. Their American contact; Karan Leigh; who by the way is not only their employer but a CIA agent sent to find the mole in their operation; is threatening them with a jail term if they do not prove their innocence.','tagline':'There is no substitute.','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1907','neighb2':'1404','neighb3':'602','neighb4':'259','neighb5':'240'}"
1448,1448,"Sabotage","{'movie_id':'144336','original_title':'Sabotage','overview':'In °Sabotage°; Arnold Schwarzenegger leads an elite DEA task force that takes on the world°s deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house; they think their work is done - until; one-by-one; the team members mysteriously start to be eliminated. As the body count rises; everyone is a suspect.','tagline':'Leave no loose ends','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1470','neighb2':'1254','neighb3':'2195','neighb4':'2507','neighb5':'3073'}"
1449,1449,"The Order","{'movie_id':'9616','original_title':'The Order','overview':'For centuries; a secret Order of priests has existed within the Church. A renegade priest; Father Alex Bernier; is sent to Rome to investigate the mysterious death of one of the Order°s most revered members. Following a series of strangely similar killings; Bernier launches an investigation that forces him to confront unimaginable evil.','tagline':'Every soul has its price.','main_category':'Fantasy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'296','neighb2':'4368','neighb3':'4539','neighb4':'1939','neighb5':'2237'}"
1450,1450,"Punisher; War Zone","{'movie_id':'13056','original_title':'Punisher; War Zone','overview':'Waging his one-man war on the world of organized crime; ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle; he sets out for vengeance under his new alias: Jigsaw. With the °Punisher Task Force° hot on his trail and the FBI unable to take Jigsaw in; Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.','tagline':'Vengeance has a name','main_category':'Crime','homepage':'http://punisherwarzonemovie.com'}","{'neighb1':'1946','neighb2':'2275','neighb3':'1585','neighb4':'1992','neighb5':'1964'}"
1451,1451,"Zoom","{'movie_id':'14113','original_title':'Zoom','overview':'Jack Shepard is an out-of-shape auto shop owner; far removed from the man who once protected the world°s freedom. Reluctantly called back into action by the government; Jack is tasked with turning a rag tag group of kids with special powers into a new generation of superheroes to save the world from certain destruction. Based on Jason Lethcoe°s graphic novel °Zoom°s Academy for the Super Gifted°.','tagline':'They°re going to save the world... as long as they°re home for dinner.','main_category':'Fantasy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'894','neighb2':'1402','neighb3':'3659','neighb4':'2540','neighb5':'417'}"
1452,1452,"The Walk","{'movie_id':'285783','original_title':'The Walk','overview':'The story of French high-wire artist Philippe Petit°s attempt to cross the Twin Towers of the World Trade Center in 1974.','tagline':'Dream High.','main_category':'Drama','homepage':'http://www.sonypictures.com/movies/thewalk/'}","{'neighb1':'1135','neighb2':'1194','neighb3':'1394','neighb4':'1328','neighb5':'2545'}"
1453,1453,"Warriors of Virtue","{'movie_id':'49478','original_title':'Warriors of Virtue','overview':'A young man; Ryan; suffering from a disability; wishes to join the other kids from his schools football team. During an initiation rite; Ryan is swept away through a whirlpool to the land of Tao. There he is hunted by the evil Lord Komodo; who desires the boy as a key to enter the real world. Ryan is rescued by the protectors of Tao; five humanoid kangaroos; each embued with the five elements and virtues. Ryan learns his valuable lesson while saving the land of Tao.','tagline':'In a world beyond your imagination a battle for the universe has begun.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1279','neighb2':'2209','neighb3':'381','neighb4':'3945','neighb5':'3087'}"
1454,1454,"A Good Year","{'movie_id':'9726','original_title':'A Good Year','overview':'Failed London banker Max Skinner inherits his uncle°s vineyard in Provence; where he spent many childhood holidays. Upon his arrival; he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.','tagline':'Everything matures... eventually.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1263','neighb2':'1128','neighb3':'1026','neighb4':'681','neighb5':'891'}"
1455,1455,"Radio Flyer","{'movie_id':'20763','original_title':'Radio Flyer','overview':'A father reminisces about his childhood when he and his younger brother moved to a new town with their mother; her new husband and their dog; Shane. When the younger brother is subjected to physical abuse at the hands of their brutal stepfather; Mike decides to convert their toy trolley; the °Radio Flyer°; into a plane to fly him to safety.','tagline':'Powered by imagination.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1657','neighb2':'1738','neighb3':'1889','neighb4':'1730','neighb5':'1325'}"
